#Units,batch_size,lr,max_epochs,optimizer,weight_decay,momentum,mean_train_score,mean_val_score,std_train_score,rank_val_score
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.3728058338165283,3.1063615481058755,0.08982981028180843,1
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.538460652033488,3.119987964630127,0.1547783828108929,2
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.6226518154144287,3.151587724685669,0.1372322883462421,3
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.597214619318644,3.159680128097534,0.05641491926177335,4
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,2.653942028681437,3.1605446338653564,0.1357982939867261,5
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.4919306437174478,3.1746224562327066,0.18367283471963078,6
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.63432240486145,3.176234801610311,0.09675781109857602,7
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.562021573384603,3.1811797618865967,0.05323287938873373,8
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,2.72366730372111,3.182413101196289,0.08086106009988935,9
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,2.663043737411499,3.183406670888265,0.1255026435699254,10
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,2.373517115910848,3.186919609705607,0.09070662536457101,11
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,2.714316209157308,3.2034414609273276,0.09524359508814373,12
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,2.5611155033111572,3.203508456548055,0.1510964199157178,13
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.710268576939901,3.211773077646891,0.04925402270729081,14
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.7100918292999268,3.221709966659546,0.1014515969777803,15
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.7666893005371094,3.2286524772644043,0.0431617379924497,16
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.7499097983042398,3.246925195058187,0.17329935404666236,17
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,2.8631808757781982,3.250505208969116,0.03171411698945626,18
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,2.7797261079152427,3.2559534708658853,0.07603192626533947,19
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,2.6572200457255044,3.256659825642904,0.06371752469344494,20
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.913484573364258,3.259161631266276,0.11394200129282513,21
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,2.78686515490214,3.265443801879883,0.04636313018624251,22
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.6933303674062095,3.2677634557088218,0.017290142159702166,23
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.769846041997274,3.2694692611694336,0.13748479513762396,24
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,2.8588672478993735,3.2712203661600747,0.0869788554756742,25
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.866236448287964,3.272543986638387,0.11118375724821945,26
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.881497065226237,3.274529774983724,0.1310627790171026,27
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,2.773136615753174,3.2747081915537515,0.04350937174506956,28
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.913944959640503,3.286733627319336,0.11245643736719073,29
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.632240136464437,3.2955365975697837,0.12241295173251962,30
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,2.8823722998301187,3.299998680750529,0.09871264479693767,31
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.9404130776723227,3.3029443422953286,0.10958449813686423,32
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,2.829702059427897,3.3032777309417725,0.17657524250393314,33
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,2.922278722127279,3.30900239944458,0.06729069589632102,34
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.5890793800354004,3.3112314542134604,0.12008919788878145,35
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,2.854353348414103,3.313373247782389,0.19300165484881762,36
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.717033624649048,3.314322312672933,0.16975045409495995,37
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,2.9719847043355307,3.3166677951812744,0.054165011270451674,38
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.9652770360310874,3.3168818950653076,0.10778094325078508,39
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.783974011739095,3.323908011118571,0.07312219206036685,40
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.9895766576131186,3.324308236440023,0.09674415008125649,41
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.987943649291992,3.334341049194336,0.10820584678604829,42
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,2.9736523628234863,3.3387087186177573,0.13504091826316406,43
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.5504234631856284,3.3449509938557944,0.035434754118827363,44
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.029832204182943,3.3510032494862876,0.073199733228738,45
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.5472490787506104,3.3561055660247803,0.039156732938682326,46
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,3.0313006242116294,3.3598644733428955,0.04378623296449067,47
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,3.030583143234253,3.368341604868571,0.07023721531298995,48
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.9410013357798257,3.373851219813029,0.10473589375842243,49
