#Units1,#Units2,batch_size,lr,max_epochs,optimizer,weight_decay,momentum,mean_train_score,mean_val_score,std_train_score,rank_val_score
50,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.9962919553120932,3.2546486854553223,0.1675243639941997,1
100,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.8843247095743814,3.261527935663859,0.1405108382709701,2
100,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.894010861714681,3.2656721274058023,0.16495986449716205,3
100,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.8734118938446045,3.266088326772054,0.09526912487444447,4
40,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.9831215540568032,3.266958713531494,0.10101654962863482,5
100,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.8949947357177734,3.2671645482381186,0.13364005229929257,6
100,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.8825693925221763,3.267626921335856,0.11441928061379282,7
100,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.8944133122762046,3.271818161010742,0.12240948920458312,8
40,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.9727140267690024,3.2740747133890786,0.10359349246443844,9
50,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.959447463353475,3.2808004220326743,0.10730825122200177,10
40,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.9560917218526206,3.2866386572519937,0.15969939037067407,11
40,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.000516096750895,3.2869883378346763,0.12227591487518763,12
100,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.891256014506022,3.293508688608805,0.0912248296927031,13
50,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.9992940425872803,3.2939209938049316,0.1514613846916376,14
50,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.975778818130493,3.2968762715657554,0.12670026530866788,15
100,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.9088855584462485,3.2996789614359536,0.16083286198291322,16
50,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.9713621139526367,3.3088640371958413,0.14284986778288736,17
100,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.951449394226074,3.3119778633117676,0.11321607685022066,18
30,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.0292702515920005,3.3121865590413413,0.15139726348056443,19
50,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.9845505555470786,3.316727638244629,0.1543067841039884,20
50,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.9874192078908286,3.316875775655111,0.12331198721367508,21
30,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.0235755443573,3.3176209926605225,0.13154985341933564,22
50,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.000378688176473,3.332178274790446,0.16791307944649897,23
40,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.0240425268809,3.3367608388264975,0.19511362812455563,24
30,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.9910260836283364,3.3373749256134033,0.1552395344070366,25
50,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.0164764722188315,3.3373807271321616,0.14039957130150219,26
30,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.0470767815907798,3.3382607301076255,0.09020710437225589,27
40,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.014378547668457,3.3506449858347573,0.17309293080124186,28
40,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.9586540857950845,3.352302153905233,0.1436424750594158,29
40,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.00993013381958,3.3570552666982016,0.11880370000204106,30
30,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.0267778237660727,3.3645834922790527,0.12328758603714217,31
40,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,2.786376714706421,3.3647371927897134,0.13993106784439063,32
40,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.0624945163726807,3.367278575897217,0.10318959962167322,33
30,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.009530862172445,3.3718443711598716,0.137367696616099,34
30,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.084371010462443,3.3719151814778647,0.11032805752729592,35
30,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.1084267298380532,3.37762983640035,0.15682864987901393,36
30,20,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.8008176485697427,3.382997751235962,0.19721494937080838,37
30,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.079974889755249,3.3895980517069497,0.1520305841992887,38
100,10,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,2.895601431528727,3.398125410079956,0.10659706905953034,39
30,20,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.976982355117798,3.441602865854899,0.14056950426769393,40
30,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.9600024223327637,3.44307533899943,0.14761445910635965,41
30,10,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,2.961212396621704,3.4441171487172446,0.14780509358602986,42
100,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.810140291849772,3.4522990385691323,0.13637507078211072,43
100,30,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.1874592304229736,3.4611756801605225,0.13242515937981655,44
50,20,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.736539284388224,3.461893320083618,0.18499475228157386,45
30,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.988335291544596,3.4646344979604087,0.21915891292917097,46
40,20,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.729936440785726,3.4711464246114097,0.16727876917935244,47
40,10,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.9717272917429605,3.4756967226664224,0.286178484734187,48
30,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.0446736017862954,3.4779913425445557,0.45065570087146517,49
100,20,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.18644110361735,3.4812138875325522,0.09373152591094583,50
100,10,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.187612771987915,3.482706149419149,0.1593394387908813,51
50,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,2.9341065883636475,3.4855316480000815,0.19642051679438108,52
100,30,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.1721944014231362,3.4870707988739014,0.12816281285232717,53
100,20,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.2124976317087808,3.4939846992492676,0.10952845992137727,54
100,30,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.1976300875345864,3.495708465576172,0.09480931328102563,55
100,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.239895502726237,3.498802900314331,0.12627271158058972,56
100,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.2327860991160073,3.501563310623169,0.09538357600618959,57
100,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.225193977355957,3.503328561782837,0.10546548549264428,58
100,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.2336535453796387,3.5104809602101645,0.11225033105694984,59
100,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.0054155190785727,3.512105862299601,0.2737550557426612,60
100,20,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.174215237299601,3.5170302391052246,0.13020302103531275,61
30,10,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.965441624323527,3.5197362105051675,0.3638960223252273,62
50,20,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.058750629425049,3.5231292247772217,0.11733558908294156,63
100,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.2533463637034097,3.5272061030069985,0.05959581594639267,64
100,10,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.2571436564127603,3.5297784010569253,0.08775573732670372,65
30,30,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.139155387878418,3.532587766647339,0.11776139121736878,66
40,20,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.0883923371632895,3.53423802057902,0.1402255556882543,67
100,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.2407187620798745,3.5379323959350586,0.05409335653931265,68
30,10,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.1387495199839273,3.5386501948038735,0.09814614329924908,69
50,30,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.287163337071737,3.5398781299591064,0.12467301872481029,70
50,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.27883251508077,3.5442987283070884,0.08141432835520283,71
100,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.247793356577555,3.5485212802886963,0.1172275181524645,72
40,10,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.033843676249186,3.5524091720581055,0.3478562168943318,73
40,20,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.055307626724243,3.5533533096313477,0.48743555708664443,74
30,20,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.344700336456299,3.5557799339294434,0.13177422965077132,75
50,20,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.317103862762451,3.571051597595215,0.0964815588837442,76
30,20,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.0158743063608804,3.5815486907958984,0.3109222352032058,77
100,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.294895887374878,3.5821921030680337,0.11658718585096664,78
100,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.2820749282836914,3.5836829344431558,0.09988807913150717,79
50,20,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.3297387758890786,3.583805799484253,0.0764919441735106,80
40,10,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.336930195490519,3.5848578612009683,0.086485266271183,81
40,30,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.379767100016276,3.586102326711019,0.10831576714921172,82
30,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.370861212412516,3.586710294087728,0.04156772340404034,83
100,10,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.2621018091837564,3.5875802040100098,0.17785648951487643,84
30,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.98766295115153,3.5885477860768638,0.4741866147596815,85
50,30,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.3401618798573813,3.590626319249471,0.14593840577418388,86
50,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.360707680384318,3.590790033340454,0.06568613174897028,87
40,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.191736380259196,3.592133124669393,0.28951873510118614,88
50,10,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.1154783566792807,3.5942211151123047,0.4028465961674514,89
50,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.332313617070516,3.5977251529693604,0.1266053360829874,90
30,20,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.0579729080200195,3.598970333735148,0.3518214784778726,91
40,10,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.4108616511027017,3.6039889653523765,0.270561010731034,92
50,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.3532468477884927,3.6054531733194985,0.08216951125161148,93
30,10,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.1554218928019204,3.611438194910685,0.2796015236595173,94
50,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.3678503036499023,3.6155880292256675,0.1274412698006136,95
40,20,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.3584072589874268,3.618593613306681,0.1513078784936483,96
50,20,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.3893481890360513,3.6202972730000815,0.07511078239950829,97
30,10,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.449907382329305,3.623713413874308,0.041016756341910016,98
40,20,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.3662590980529785,3.6250435511271157,0.1210099537114115,99
40,20,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.402249018351237,3.62568728129069,0.2002284262424989,100
40,20,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.3779404958089194,3.6277033487955728,0.19228860014441443,101
100,20,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.054946502049764,3.627798875172933,0.2669996701010153,102
100,20,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.973099152247111,3.627825975418091,0.1256244724830157,103
30,30,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.4251120885213218,3.633108297983805,0.1413656741014639,104
40,30,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.3586142857869468,3.634051561355591,0.11318092188134263,105
40,20,256,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.2257803281148276,3.635850509007772,0.366848835200845,106
50,10,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.387390931447347,3.638944228490194,0.16975643887111283,107
100,20,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.8490986824035645,3.639916976292928,0.2697360579778358,108
40,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.3858492374420166,3.6399498780568442,0.19853560565707337,109
40,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.3926252524058023,3.6407984097798667,0.07595167765360042,110
100,10,256,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.1958909034729004,3.646198352177938,0.18309736041291091,111
50,10,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.4188405672709146,3.6513660748799643,0.2022874075394638,112
50,30,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.34517232577006,3.6678383350372314,0.0386505742541455,113
50,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.4317182699839273,3.668095111846924,0.05753561086844072,114
40,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.1930402914683023,3.6681007544199624,0.3288891030346969,115
30,30,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.277710517247518,3.6693851153055825,0.22578609701652827,116
40,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.425528367360433,3.6724206606547036,0.036292617200101754,117
30,30,64,0.001,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.5012627442677817,3.675142844518026,0.03205889131057667,118
100,10,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.9266892274220786,3.6770331064860025,0.23539554562366896,119
50,20,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.2165489991505942,3.687244415283203,0.2249784354546037,120
30,30,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.4911367098490396,3.689060688018799,0.17897019753226517,121
30,10,128,0.001,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.4956159591674805,3.691352287928263,0.09545997156785471,122
