#Units1,#Units2,batch_size,lr,max_epochs,optimizer,weight_decay,momentum,mean_train_score,mean_val_score,std_train_score,mean_fit_time,std_fit_time,rank_val_score
100,30,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.390754461288452,2.8017759323120117,0.06642507451275678,6.735028982162476,0.04872941112661638,1
50,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.4034343560536704,2.804528554280599,0.09730948220766604,6.530352195103963,0.07073676810191137,2
150,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.4,2.3183140754699707,2.8057408332824707,0.09701827052503983,9.63637908299764,0.1287946824694255,3
150,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.1021815141042075,2.8086320559183755,0.06523113844438608,6.882975737253825,0.0680412922517588,4
150,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.3225909074147544,2.808824141820272,0.07924172935808602,6.939281304677327,0.02630933974465541,5
100,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,2.182210922241211,2.8109519481658936,0.07344386438208485,9.40084711710612,0.042449326563099965,6
150,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.07832924524943,2.8110170364379883,0.07475226585564569,6.823611895243327,0.028069598401911044,7
50,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,2.3285515308380127,2.8217872778574624,0.09056563276704234,9.199880441029867,0.06657136956001374,8
100,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.4,2.3197081883748374,2.8242196242014566,0.12176260942902666,9.470557848612467,0.04107117560847902,9
100,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.1273091634114585,2.824937661488851,0.06588583372102463,6.722210327784221,0.06250310388050113,10
100,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,2.3754889170328775,2.8280677795410156,0.07534532848349332,6.673461119333903,0.03433136867739468,11
100,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.388444105784098,2.828834613164266,0.07388461696538416,6.748092254002889,0.05386771700942118,12
50,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,2.4167470932006836,2.829169432322184,0.06934045636462054,6.54106601079305,0.06907659456854959,13
50,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,2.3424737453460693,2.8301456769307456,0.10859965164775631,9.325605074564615,0.08263844080424879,14
100,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.166569153467814,2.8308436075846353,0.11932164995225417,9.52320671081543,0.10420100816099152,15
150,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,2.2693963845570884,2.831187884012858,0.0823923312334449,9.737398465474447,0.13069328178034184,16
50,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.3340819676717124,2.8334160645802817,0.09615939322423575,9.269520044326782,0.14886705794656185,17
50,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.4,2.3397502104441323,2.8350894451141357,0.11161603580888299,9.191832462946573,0.09212274153182225,18
150,30,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.4028958479563394,2.83663018544515,0.08239686322614778,6.8359692096710205,0.07746908879673985,19
150,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.386164426803589,2.8368757565816245,0.08049171595662344,9.677320082982382,0.09245046245632209,20
150,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,2.133119503657023,2.83707332611084,0.0925585341418174,9.735610882441202,0.1301580268025196,21
50,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.324493328730265,2.8393072287241616,0.10604874129501898,9.237155278523764,0.12628215947787141,22
150,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.0771989822387695,2.840907573699951,0.0696093800983851,6.919428586959839,0.08037226059060443,23
150,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.4,2.292288144429525,2.8410207430521646,0.09977875403824227,9.710766792297363,0.09069566945972343,24
100,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.326313098271688,2.84169340133667,0.09977136463974465,9.494918584823608,0.12027030132512756,25
150,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.2782630920410156,2.8426642417907715,0.08744958926959343,9.577707529067993,0.0378727179085206,26
50,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.4497430324554443,2.8446128368377686,0.09091165395114516,9.180807113647461,0.07659600573808087,27
50,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,2.421111265818278,2.8451815446217856,0.0762370539648727,9.306698242823282,0.14012160470700896,28
50,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.220862706502279,2.8452912171681723,0.09930579775503265,9.312733093897501,0.10636744676330004,29
100,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.0856966177622476,2.8456610838572183,0.08176423581224145,6.709481477737427,0.06582217749734208,30
100,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.2,2.4324518044789634,2.846022844314575,0.09013532907234774,9.481258392333984,0.10903175100582616,31
100,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.1068876584370932,2.846256415049235,0.061445053185489,6.7126491864522295,0.07420799499551156,32
50,30,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.4446009000142417,2.8465416431427,0.11639584150598573,6.468306382497151,0.02379649393172542,33
100,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.4,2.366734186808268,2.8475789229075112,0.0806458143698688,9.371499617894491,0.09845948676828561,34
100,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.2,2.4179622332255044,2.847813606262207,0.09577856947097042,9.486802260080973,0.15274197960167282,35
20,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.2197111447652182,2.849768877029419,0.052599196155135544,6.44226861000061,0.061015767327151436,36
150,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,2.4107547601064048,2.8498762448628745,0.08284961123694994,9.580733696619669,0.12870255668533115,37
20,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.2957876523335776,2.8509678840637207,0.10691988971637204,9.229633013407389,0.12352804258009507,38
20,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.2198963165283203,2.8518288930257163,0.0762628042326673,6.459042549133301,0.05356482841469076,39
20,30,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.4,2.417402426401774,2.8525984287261963,0.10791622582200697,9.24636443456014,0.07933888646920965,40
150,30,128,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.168090343475342,2.8537116050720215,0.08298907496551022,6.841351668039958,0.004715001024911145,41
150,40,128,0.01,300,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,2.3414451281229653,2.855257193247477,0.07472800304852903,6.890971263249715,0.07784538755351932,42
150,40,64,0.01,300,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.2145822048187256,2.8553830782572427,0.08137201225781272,9.656342267990112,0.12172223618955072,43
