#Units1,batch_size,activation,lr,max_epochs,optimizer,weight_decay,momentum,nesterov,mean_train_score,mean_val_score,std_train_score,mean_fit_time,std_fit_time,rank_val_score
100,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.4325431187947593,2.831959883371989,0.07472092031867218,51.14422965049744,0.23909094327165964,1
150,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.42669677734375,2.842416286468506,0.09360533410396507,51.34217095375061,0.20652157406216817,2
50,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.3996150493621826,2.851163148880005,0.0600614711359342,50.439932902654014,0.3223520189496341,3
100,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.4056697686513266,2.8516345024108887,0.07409141146009364,51.473867654800415,0.27103977878075186,4
50,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.3746562004089355,2.855949560801188,0.08635880300671145,50.795070012410484,0.19818805019226468,5
100,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.5400451024373374,2.858976443608602,0.0736142348099277,51.10958274205526,0.2506760279379219,6
150,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.442206541697184,2.8593868414560952,0.08309350577646234,51.574241956075035,0.08867746475015559,7
50,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.4999114672342935,2.8663299083709717,0.0742356226025868,50.7481435139974,0.2917351894283259,8
150,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.56597638130188,2.8828113079071045,0.0780705197966855,51.31004293759664,0.30044982268245213,9
50,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,True,2.581366697947184,2.8865443070729575,0.07551426458952987,50.722213904062905,0.20090075913514777,10
150,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,True,2.361302216847738,2.888871510823568,0.08527752347272252,51.564879973729454,0.31625228669175603,11
50,128,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.5550039609273276,2.8899643421173096,0.07538892126769038,34.214759349823,0.21806366039667133,12
100,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,True,2.3847731749216714,2.892057259877523,0.06869397792033331,51.33520213762919,0.23570728180041445,13
100,128,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.5880576769510903,2.8939526875813804,0.06700004084106721,34.07988850275675,0.2799848998489513,14
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.4,True,2.376072883605957,2.8971197605133057,0.05473362555396668,50.209988276163735,0.17165384129173705,15
