rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,init_mode,learn_rate,momentum,nesterov,param_neurons_layer_1,weight_decay,mean_fit_time
1,3.2664703528086343,0.12405579708324121,2.8721299966176352,0.04674142134596294,relu,256,300,glorot_uniform,0.01,0.9,False,80,0.0001,0.9203714529673258
2,3.28413462638855,0.009746209208644947,2.7100741068522134,0.1786204781253634,relu,128,300,glorot_uniform,0.01,0.9,False,120,0.0001,1.3417283693949382
3,3.290912707646688,0.08247497945241945,2.6355885664621987,0.07579949775672788,relu,64,300,glorot_uniform,0.01,0.9,False,80,0.0001,1.7172444661458333
4,3.2991565068562827,0.0516114799470581,2.802501360575358,0.11173188003850225,relu,128,300,glorot_uniform,0.01,0.9,False,120,0.001,1.2892160415649414
5,3.307760000228882,0.12079904621012903,2.67208464940389,0.07894465372518918,relu,64,300,glorot_uniform,0.01,0.9,False,120,0.001,1.7952144940694172
6,3.3123038609822593,0.12056151128617766,2.7983627319335938,0.07200688699546945,relu,128,300,glorot_uniform,0.01,0.9,False,80,0.0001,1.2625677585601807
7,3.321518341700236,0.1101545019719173,2.9467896620432534,0.05588006403081181,relu,128,300,glorot_uniform,0.01,0.9,False,40,0.001,1.1937977472941081
8,3.3246076107025146,0.14971745745546736,2.9877204100290933,0.04825664697876204,relu,256,300,glorot_uniform,0.01,0.9,False,40,0.0001,0.999889612197876
9,3.3289759953816733,0.0715392073290644,3.023307720820109,0.05021805532567226,relu,64,300,glorot_uniform,0.01,0.4,False,120,0.0001,1.9230270385742188
10,3.33830459912618,0.13864516414648048,2.8484129905700684,0.08268629995284318,relu,128,300,glorot_uniform,0.01,0.9,False,40,0.0001,1.2559500535329182
11,3.3530194759368896,0.07615283137819166,3.033921718597412,0.01191463944933503,relu,64,300,glorot_uniform,0.01,0.4,False,120,0.001,2.10711407661438
12,3.3583457469940186,0.04284463081773568,2.9889136950174966,0.05914590289957267,relu,64,300,glorot_uniform,0.01,0.4,False,80,0.0001,2.3657235304514566
13,3.3618196646372476,0.10754419976382099,2.758479436238607,0.07451601584360215,relu,64,300,glorot_uniform,0.01,0.9,False,80,0.001,1.7968011697133381
